"Nr okręgu";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
61;;"Sławomir Jerzy SNARSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"nauczyciel akademicki";"Rudka";"200307";"gm. Rudka";"nie należy do partii politycznej";"";;;
62;;"Kazimierz Mariusz KLEINA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"ekonomista";"Łeba";"220802";"m. Łeba";"członek partii politycznej: Platforma Obywatelska RP";"";;;
62;;"Krzysztof Paweł KROPIDŁOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"technik leśnik";"Główczyce";"221204";"gm. Główczyce";"członek partii politycznej: Ruch Narodowy";"";;;
62;;"Samanta Maria NOWIŃSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"pracownik administracji państwowej";"Ustka";"221201";"m. Ustka";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
63;;"Sławomir Łukasz BUTZA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"technik elektronik";"Sternowo";"220203";"gm. Chojnice";"członek partii politycznej: Ruch Narodowy";"";;;
63;;"Dariusz DRELICH";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"Ekonomista";"Lublewo Gdańskie";"220403";"gm. Kolbudy";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
63;;"Anna GÓRSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"specjalistka do spraw stosunków międzynarodowych";"Straszyn";"220404";"gm. Pruszcz Gdański";"członek partii politycznej: Lewica Razem";"";;;
63;;"Dariusz Franciszek MĘCZYKOWSKI";"KOMITET WYBORCZY WYBORCÓW DARIUSZA MĘCZYKOWSKIEGO";"Mężczyzna";"Nauczyciel";"Grabówko";"220607";"gm. Nowa Karczma";"nie należy do partii politycznej";"";;;
64;;"Danuta Jadwiga BIAŁOOKA-KOSTENECKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"Prawnik";"Gdynia";"226201";"m. Gdynia";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
64;;"Sławomir Piotr RYBICKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"parlamentarzysta";"Sopot";"226401";"m. Sopot";"członek partii politycznej: Platforma Obywatelska RP";"";;;
65;;"Bogdan Michał BORUSEWICZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"historyk";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Platforma Obywatelska RP";"";;;
65;;"Hubert GRZEGORCZYK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"menedżer";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
65;;"Artur SZOSTAK";"KOMITET WYBORCZY POLSKIEJ PARTII PIRATÓW";"Mężczyzna";"przedsiębiorca";"Gdańsk";"226101";"m. Gdańsk";"nie należy do partii politycznej";"";;;
66;;"Kazimierz Józef JANIAK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel akademicki";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
66;;"Andrzej Sławomir KOBYLARZ";"KOMITET WYBORCZY WYBORCÓW MIROSŁAWA PIASECKIEGO KANDYDATA NA SENATORA RZECZYPOSPOLITEJ POLSKIEJ";"Mężczyzna";"przedsiębiorca";"Domachowo";"220408";"gm. Trąbki Wielkie";"nie należy do partii politycznej";"";;;
66;;"Dominik MAZUR";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"menedżer";"Pruszcz Gdański";"220401";"m. Pruszcz Gdański";"członek partii politycznej: Ruch Narodowy";"";;;
66;;"Ryszard Jan ŚWILSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"politolog";"Cieplewo";"220404";"gm. Pruszcz Gdański";"członek partii politycznej: Platforma Obywatelska RP";"";;;
67;;"Leszek CZARNOBAJ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"inżynier technologii drewna";"Kwidzyn";"220701";"m. Kwidzyn";"członek partii politycznej: Platforma Obywatelska RP";"";;;
67;;"Łukasz Kazimierz KULECKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"rolnik";"Mikołajki Pomorskie";"221602";"gm. Mikołajki Pomorskie";"członek partii politycznej: Ruch Narodowy";"";;;
67;;"Natalia NITEK-PŁAŻYŃSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"psycholog";"Gdańsk";"226101";"m. Gdańsk";"nie należy do partii politycznej";"";;;
67;;"Paweł Piotr SZAJDA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"lekarz";"Gdynia";"226201";"m. Gdynia";"nie należy do partii politycznej";"";;;
68;;"Monika FAJER";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"technik administracji";"Częstochowa";"246401";"m. Częstochowa";"nie należy do partii politycznej";"";;;
68;;"Jarosław Wacław LASECKI";"KOMITET WYBORCZY WYBORCÓW PAKT OBYWATELSKI LASECKI";"Mężczyzna";"menedżer produktu; rolnik";"Myszków";"240901";"m. Myszków";"nie należy do partii politycznej";"";;;
68;;"Ryszard Bogdan MAJER";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel akademicki";"Częstochowa";"246401";"m. Częstochowa";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
68;;"Krzysztof SMELA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"pedagog";"Wierzchowisko";"240411";"gm. Mykanów";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
68;;"Mariusz Michał SPIECHOWICZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"technik ekonomista";"Rudniki";"240415";"gm. Rędziny";"nie należy do partii politycznej";"";;;
69;;"Małgorzata Beata BIEŃKOWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"przedsiębiorca";"Częstochowa";"246401";"m. Częstochowa";"członek partii politycznej: Nowa Nadzieja";"";;;
69;;"Wojciech Jan KONIECZNY";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"lekarz-specjalista neurologii";"Częstochowa";"246401";"m. Częstochowa";"członek partii politycznej: Polska Partia Socjalistyczna";"";;;
69;;"Marcin MARANDA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel przedmiotu w szkole ponadpodstawowej";"Częstochowa";"246401";"m. Częstochowa";"nie należy do partii politycznej";"";;;
69;;"Monika Sylwia POHORECKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"pedagog";"Częstochowa";"246401";"m. Częstochowa";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
70;;"Łukasz CHMIELEWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"dyrektor do spraw personalnych";"Gliwice";"246601";"m. Gliwice";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
70;;"Zygmunt Mieczysław FRANKIEWICZ";"KOMITET WYBORCZY WYBORCÓW ZYGMUNT FRANKIEWICZ - PAKT SENACKI";"Mężczyzna";"inżynier";"Gliwice";"246601";"m. Gliwice";"nie należy do partii politycznej";"";;;
71;;"Halina Maria BIEDA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"nauczyciel";"Bytom";"246201";"m. Bytom";"członek partii politycznej: Platforma Obywatelska RP";"";;;
71;;"Mariusz Kazimierz WÓJTOWICZ";"KOMITET WYBORCZY WYBORCÓW MARIUSZ KAZIMIERZ WÓJTOWICZ";"Mężczyzna";"lekarz";"Zabrze";"247801";"m. Zabrze";"nie należy do partii politycznej";"";;;
72;;"Ewa Maria GAWĘDA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"fotograf";"Syrynia";"241507";"gm. Lubomia";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
72;;"Konrad Karol MAKAREWICZ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"inżynier górnik-górnictwo podziemne";"Żory";"247901";"m. Żory";"członek partii politycznej: Nowa Nadzieja";"";;;
72;;"Adam Ferdynand PUSTELNIK";"KOMITET WYBORCZY ŚLONZOKI RAZEM";"Mężczyzna";"historyk";"Pawłowice";"241004";"gm. Pawłowice";"członek partii politycznej: Ślonzoki Razem";"";;;
72;;"Henryk Piotr SIEDLACZEK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"nauczyciel";"Rudy";"241105";"gm. Kuźnia Raciborska";"nie należy do partii politycznej";"";;;
73;;"Andrzej Ryszard FOJCIK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"lekarz";"Przegędza";"241201";"gm. Czerwionka-Leszczyny";"nie należy do partii politycznej";"";;;
73;;"Piotr Paweł MASŁOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"pracownik samorządowy";"Rybnik";"247301";"m. Rybnik";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;
73;;"Mirosław Jan MAŁEK";"KOMITET WYBORCZY POLSKA 2050";"Mężczyzna";"trener sportu";"Rybnik";"247301";"m. Rybnik";"nie należy do partii politycznej";"";;;
73;;"Wojciech Piotr PIECHA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Rybnik";"247301";"m. Rybnik";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
74;;"Piotr Roman BECK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Świętochłowice";"247601";"m. Świętochłowice";"członek partii politycznej: Nowa Nadzieja";"";;;
74;;"Gabriela Anna MORAWSKA-STANECKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"adwokat";"Gostyń";"240805";"gm. Wyry";"nie należy do partii politycznej";"";;;
75;;"Piotr Franciszek CZARNYNOGA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"inżynier elektronik";"Bieruń";"241401";"m. Bieruń";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
75;;"Andrzej Józef DZIUBA";"KOMITET WYBORCZY WYBORCÓW ANDRZEJ DZIUBA - PAKT SENACKI";"Mężczyzna";"inżynier górnik";"Tychy";"247701";"m. Tychy";"nie należy do partii politycznej";"";;;
75;;"Mateusz Zbigniew OŻÓG";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"inżynier budowy dróg";"Bieruń";"241401";"m. Bieruń";"członek partii politycznej: Nowa Nadzieja";"";;;
76;;"Arkadiusz Jakub GRABOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Będzin";"240101";"m. Będzin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
76;;"Beata Maria MAŁECKA-LIBERA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"lekarz medycyny";"Dąbrowa Górnicza";"246501";"m. Dąbrowa Górnicza";"członek partii politycznej: Platforma Obywatelska RP";"";;;
76;;"Tomasz SZOTOWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel osób z niepełnosprawnością intelektualną";"Czeladź";"240102";"m. Czeladź";"nie należy do partii politycznej";"";;;
76;;"Krystian Zbigniew ŻELAZNY";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Siewierz";"240107";"gm. Siewierz";"członek partii politycznej: Nowa Nadzieja";"";;;
77;;"Jacek Piotr DUDEK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"prawnik";"Sosnowiec";"247501";"m. Sosnowiec";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
77;;"Piotr HAŁASIK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Sosnowiec";"247501";"m. Sosnowiec";"nie należy do partii politycznej";"";;;
77;;"Joanna SEKUŁA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"inżynier mechanik";"Sosnowiec";"247501";"m. Sosnowiec";"członek partii politycznej: Platforma Obywatelska RP";"";;;
78;;"Jan Stanisław CHRZĄSZCZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"manager";"Bielsko-Biała";"246101";"m. Bielsko-Biała";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
78;;"Cezary Józef CZAPIGA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Czechowice-Dziedzice";"240204";"gm. Czechowice-Dziedzice";"członek partii politycznej: Nowa Nadzieja";"";;;
78;;"Agnieszka Aleksandra GORGOŃ-KOMOR";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"senator rp";"Bielsko-Biała";"246101";"m. Bielsko-Biała";"członek partii politycznej: Platforma Obywatelska RP";"";;;
78;;"Monika Ewa SOCHA-CZYŻ";"KOMITET WYBORCZY ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN";"Kobieta";"samorządowiec";"Widgiry";"281801";"gm. Banie Mazurskie";"członek partii politycznej: Zjednoczenie Chrześcijańskich Rodzin";"";;;
79;;"Daniel Krystian FLAKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"nauczyciel";"Koszarawa";"241705";"gm. Koszarawa";"członek partii politycznej: Ruch Narodowy";"";;;
79;;"Konrad Krzysztof GOŁOTA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"specjalista ds. stosunków międzynarodowych";"Cieszyn";"240301";"m. Cieszyn";"członek partii politycznej: Nowa Lewica";"";;;
79;;"Andrzej Jerzy KALATA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"samorządowiec";"Milówka";"241709";"gm. Milówka";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
79;;"Beata Maria MACURA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"pracownik biurowy";"Skoczów";"240310";"gm. Skoczów";"nie należy do partii politycznej";"";;;
80;;"Maciej Kamil KOPIEC";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ekonomista";"Rybnik";"247301";"m. Rybnik";"członek partii politycznej: Nowa Lewica";"";;;
80;;"Jerzy MARKOWSKI";"KOMITET WYBORCZY WYBORCÓW JERZEGO MARKOWSKIEGO";"Mężczyzna";"inżynier górnik";"Gliwice";"246601";"m. Gliwice";"nie należy do partii politycznej";"";;;
80;;"Leszek Marian PIECHOTA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"inżynier elektryk";"Katowice";"246901";"m. Katowice";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
81;;"Edmund Andrzej KACZMAREK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"zootechnik";"Oksa";"260205";"gm. Oksa";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
81;;"Jakub KOSIŃ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"policjant";"Pińczów";"260804";"gm. Pińczów";"nie należy do partii politycznej";"";;;
81;;"Jerzy Mieczysław KUŁAGA";"KOMITET WYBORCZY ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN";"Mężczyzna";"elektromonter maszyn i urządzeń";"Kije";"260802";"gm. Kije";"nie należy do partii politycznej";"";;;
81;;"Sławomir Aleksander SZAREK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"informatyk";"Kielce";"266101";"m. Kielce";"członek partii politycznej: Ruch Narodowy";"";;;
81;;"Jacek Władysław WŁOSOWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"polityk";"Bilcza";"260412";"gm. Morawica";"nie należy do partii politycznej";"";;;
82;;"Piotr Paris DASIOS";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"urzędnik samorządowy";"Ostrowiec Świętokrzyski";"260701";"m. Ostrowiec Świętokrzyski";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;
82;;"Elżbieta Agnieszka KOMOSA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"Kobieta";"nauczyciel";"Radom";"146301";"m. Radom";"nie należy do partii politycznej";"";;;
82;;"Marek Jerzy MATEREK";"KOMITET WYBORCZY NOWA DEMOKRACJA - TAK";"Mężczyzna";"zarządca nieruchomości";"Starachowice";"261101";"m. Starachowice";"członek partii politycznej: Nowa Demokracja-Tak";"";;;
82;;"Jarosław RUSIECKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"socjolog";"Ostrowiec Świętokrzyski";"260701";"m. Ostrowiec Świętokrzyski";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
82;;"Michał SOKOLNICKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"adwokat";"Starachowice";"261101";"m. Starachowice";"członek partii politycznej: Nowa Nadzieja";"";;;
83;;"Robert BIERNACKI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"pracownik samorządowy";"Kielce";"266101";"m. Kielce";"nie należy do partii politycznej";"";;;
83;;"Marcin Rafał BUGAJSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNY ANTYSYSTEMOWY";"Mężczyzna";"politolog";"Miedziana Góra";"260410";"gm. Miedziana Góra";"nie należy do partii politycznej";"";;;
83;;"Henryk Mieczysław MILCARZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ekonomista";"Zabłocie";"260419";"gm. Zagnańsk";"członek partii politycznej: Nowa Lewica";"";;;
83;;"Andrzej RAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Suchedniów";"261005";"gm. Suchedniów";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;
83;;"Katarzyna Aleksandra SUCHAŃSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"adwokat";"Kielce";"266101";"m. Kielce";"nie należy do partii politycznej";"";;;
83;;"Krzysztof Marek SŁOŃ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"inżynier budownictwa";"Kielce";"266101";"m. Kielce";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
84;;"Łukasz Szymon KOCHAN";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"inżynier pożarnictwa";"Elbląg";"286101";"m. Elbląg";"nie należy do partii politycznej";"";;;
84;;"Justyna Joanna MASIEWICZ-GRODŹ";"KOMITET WYBORCZY ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN";"Kobieta";"urzędnik";"Pieniężno";"280205";"gm. Pieniężno";"nie należy do partii politycznej";"";;;
84;;"Jerzy WCISŁA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"polityk";"Elbląg";"286101";"m. Elbląg";"członek partii politycznej: Platforma Obywatelska RP";"";;;
85;;"Gustaw Marek BRZEZIN";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"urzędnik";"Ostróda";"281501";"m. Ostróda";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
85;;"Paweł DULSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"prawnik";"Warszawa";"146505";"Mokotów";"członek partii politycznej: Bezpartyjni Samorządowcy";"";;;
85;;"Tomasz Kiejstut DĄBROWSKI";"KOMITET WYBORCZY WOLNOŚCIOWCY";"Mężczyzna";"magister administracji";"Lubajny";"281509";"gm. Ostróda";"członek partii politycznej: Wolnościowcy";"";;;
85;;"Michał FIAŁKOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"mistrz ds. przewozowych";"Iława";"280701";"m. Iława";"członek partii politycznej: Ruch Narodowy";"";;;
85;;"Bogusława ORZECHOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"lekarz";"Ostróda";"281501";"m. Ostróda";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
86;;"Ewa Monika KALISZUK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"nauczyciel";"Olsztyn";"286201";"m. Olsztyn";"członek partii politycznej: Platforma Obywatelska RP";"";;;
86;;"Anna Maria ORZECHOWSKA";"KOMITET WYBORCZY WOLNI I SOLIDARNI";"Kobieta";"technik architekt";"Olsztyn";"286201";"m. Olsztyn";"członek partii politycznej: Wolni i Solidarni";"";;;
86;;"Janusz PRUCNAL";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"architekt";"Olsztyn";"286201";"m. Olsztyn";"członek partii politycznej: Prawica Rzeczypospolitej";"";;;
86;;"Zbigniew PURPUROWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"lekarz medycyny";"Olsztyn";"286201";"m. Olsztyn";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
86;;"Lidia Ewa STAROŃ";"KOMITET WYBORCZY WYBORCÓW LIDIA STAROŃ - ZAWSZE PO STRONIE LUDZI";"Kobieta";"senator RP";"Olsztyn";"286201";"m. Olsztyn";"nie należy do partii politycznej";"";;;
87;;"Mariola KOBUS";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"główny księgowy";"Kowalewo";"281601";"gm. Biała Piska";"nie należy do partii politycznej";"";;;
87;;"Małgorzata KOPICZKO";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Ełk";"280501";"m. Ełk";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
87;;"Jolanta PIOTROWSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"ekonomista";"Giżycko";"280601";"m. Giżycko";"członek partii politycznej: Platforma Obywatelska RP";"";;;
87;;"Artur Zbigniew ZALEWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"lekarz";"Chruściele";"280502";"gm. Ełk";"nie należy do partii politycznej";"";;;
88;;"Józef KOŁOS";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"rolnik";"Kosztowo";"301908";"gm. Wyrzysk";"członek partii politycznej: Samoobrona";"";;;
88;;"Janusz KUBIAK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"adwokat";"Piła";"301901";"m. Piła";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
88;;"Justyna Agnieszka PRZYBYŁ";"KOMITET WYBORCZY NOWA DEMOKRACJA - TAK";"Kobieta";"emeryt";"Lubasz";"300205";"gm. Lubasz";"członek partii politycznej: Nowa Demokracja-Tak";"";;;
88;;"Adam Stanisław SZEJNFELD";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"prawnik";"Piła";"301901";"m. Piła";"członek partii politycznej: Platforma Obywatelska RP";"";;;
89;;"Jan Filip LIBICKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"parlamentarzysta";"Poznań";"306401";"m. Poznań";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
89;;"Danuta Maria NIJAKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"urzędnik";"Grodzisk Wielkopolski";"300502";"gm. Grodzisk Wielkopolski";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
89;;"Ryszard OSZMIAN";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"mechanik budowy maszyn";"Poznań";"306401";"m. Poznań";"członek partii politycznej: Ruch Narodowy";"";;;
90;;"Dorota Elżbieta BAREŁKOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"przedsiębiorca";"Przeźmierowo";"302117";"gm. Tarnowo Podgórne";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
90;;"Waldy DZIKOWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"chemik";"Tarnowo Podgórne";"302117";"gm. Tarnowo Podgórne";"członek partii politycznej: Platforma Obywatelska RP";"";;;
