"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
3;;;"Renata Alicja SOŁTYSIAK";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"adwokat";"Wołów";"022203";"gm. Wołów";"członek partii politycznej: Polska Jest Jedna";"";;;;
3;;;"Mirosława Agnieszka STACHOWIAK-RÓŻECKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"pedagog";"Oborniki Śląskie";"022001";"gm. Oborniki Śląskie";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
3;;;"Marta Magdalena STOŻEK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"specjalista do spraw zarządzania";"Oborniki Śląskie";"022001";"gm. Oborniki Śląskie";"członek partii politycznej: Lewica Razem";"";;;;
3;;;"Szymon Kazimierz STYRCZULA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"grafik";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;;
3;;;"Jolanta Barbara SZCZURASZEK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Milicz";"021303";"gm. Milicz";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
3;;;"Dorota Iwona SZLEMER";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"przedsiębiorca";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;;
3;;;"Ewa SZLOSER";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"ekonomista";"Ludów Polski";"021704";"gm. Strzelin";"członek partii politycznej: Nowa Nadzieja";"";;;;
3;;;"Mariola SZURYNOWSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"nauczyciel";"Niechlów";"020403";"gm. Niechlów";"nie należy do partii politycznej";"";;;;
3;;;"Miłosz Michał TAMULEWICZ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"ekonomista";"Oborniki Śląskie";"022001";"gm. Oborniki Śląskie";"członek partii politycznej: Ruch Narodowy";"";;;;
3;;;"Małgorzata Elżbieta TRACZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"parlamentarzysta";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Zieloni";"";;;;
3;;;"Magdalena Anna TROJANOWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"prawnik";"Nadolice Wielkie";"022301";"gm. Czernica";"nie należy do partii politycznej";"";;;;
3;;;"Krzysztof TUDUJ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"prawnik";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Konfederacja Wolność i Niepodległość";"";;;;
3;;;"Małgorzata Wanda TUSIŃSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"psycholog";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Nowa Lewica";"";;;;
3;;;"Daniel Paweł USZYŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"emerytowany żołnierz";"Lutynia";"021803";"gm. Miękinia";"nie należy do partii politycznej";"";;;;
3;;;"Magdalena Marta WIATR-PRZYBYLSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"księgowa";"Bierutów";"021402";"gm. Bierutów";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
3;;;"Agnieszka WIATRZYK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"nauczyciel";"Wilkszyn";"021803";"gm. Miękinia";"nie należy do partii politycznej";"popierana przez partię polityczną: Polska 2050 Szymona Hołowni";;;;
3;;;"Anna Joanna WIECZOREK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"dyrektor szkoły";"Krośnice";"021302";"gm. Krośnice";"nie należy do partii politycznej";"";;;;
3;;;"Marta WIĘCKOWSKA";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"pracownik administracyjny";"Pęgów";"022001";"gm. Oborniki Śląskie";"nie należy do partii politycznej";"";;;;
3;;;"Renata Maria WOJCIECHOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Syców";"021407";"gm. Syców";"nie należy do partii politycznej";"";;;;
3;;;"Urszula WOJTYŁO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"nauczyciel";"Krzydlina Mała";"022203";"gm. Wołów";"nie należy do partii politycznej";"";;;;
3;;;"Dariusz Krzysztof WOŁOWICZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"inż. zarządzania środowiskiem";"Góra";"020401";"gm. Góra";"członek partii politycznej: Nowa Lewica";"";;;;
3;;;"Michał Ryszard WOŹNICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"specjalista do spraw public relations";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
3;;;"Wiesław Antoni ZAJĄC";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"mechanizator rolnictwa";"Bierzyce";"022302";"gm. Długołęka";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
3;;;"Monika Dominika ZAKRĘTA";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"ekonomista";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;;
3;;;"Krzysztof ZALEWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"prawnik";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
3;;;"Roman Jerzy ZAPRUTKO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"technik mechanik";"Lubin";"021101";"m. Lubin";"nie należy do partii politycznej";"";;;;
3;;;"Ewa Anna ZDROJEWSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"radca prawny";"Wisznia Mała";"022004";"gm. Wisznia Mała";"nie należy do partii politycznej";"";;;;
3;;;"Bogdan Andrzej ZDROJEWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"kulturoznawca";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
3;;;"Maciej Adam ZEGAN";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"trener sportu";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;;
3;;;"Tomasz Franciszek ZIMOCH";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"dziennikarz";"Łódź";"106101";"m. Łódź";"nie należy do partii politycznej";"popierany przez partię polityczną: Polska 2050 Szymona Hołowni";;;;
3;;;"Grzegorz Piotr ĆWIERTNIEWICZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;;
3;;;"Danuta Maria ŚMIAŁEK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"nauczycielka";"Oborniki Śląskie";"022001";"gm. Oborniki Śląskie";"członek partii politycznej: Nowa Lewica";"";;;;
3;;;"Krzysztof Jan ŚMISZEK";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"adwokat";"Warszawa";"146506";"Ochota";"członek partii politycznej: Nowa Lewica";"";;;;
3;;;"Jacek ŚWIAT";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"specjalista ds. marketingu";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
3;;;"Mateusz Damian ŻAK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"ekonomista";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
4;;;"Bashar AL-SHAER";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"lekarz-specjalista chorób wewnętrznych";"Wudzyn";"040303";"gm. Dobrcz";"nie należy do partii politycznej";"";;;;
4;;;"Tomasz BAGNEROWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"rolnik";"Turzyn";"041001";"gm. Kcynia";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;;
4;;;"Katarzyna Łucja BARTNICZAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"dyrektor do spraw administracyjnych";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;;
4;;;"Karolina BERDYSIAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"programista";"Solec Kujawski";"040308";"gm. Solec Kujawski";"nie należy do partii politycznej";"";;;;
4;;;"Renata Katarzyna BIERNACKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"menedżer produktu";"Inowrocław";"040701";"m. Inowrocław";"członek partii politycznej: Nowa Lewica";"";;;;
4;;;"Łukasz BIERNACKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Inowrocław";"040701";"m. Inowrocław";"członek partii politycznej: Nowa Nadzieja";"";;;;
